Product Name,Price,Discount,Original Price
Onion 1 kg,25.0,0.0,25.0
Kinoo Orange 1 kg,65.0,0.0,65.0
Potato per kg,32.0,0.0,32.0
Button Mushroom 200 g,35.0,0.0,35.0
Onion 5 kg (Pack),120.0,0.0,120.0
Big Coconut 1 Pc ( Approx 350 g - 600 g),30.0,0.0,30.0
Carrot Red per kg,36.0,0.0,36.0
Indian Garlic 200 g,88.0,0.0,88.0
Bhendi (Okra) 250 g,13.5,0.0,14.0
Tender Coconut 3 pcs,115.0,0.0,115.0
Ginger Indian 200 g,34.0,0.0,34.0
Green Chilli 200 g,20.0,0.0,20.0
Tender Coconut Cling Wrapped (1 pc) (Approx 900 g - 1300 g),39.0,0.0,39.0
Strawberry (Pack) (Approx 170 g - 250 g),45.0,0.0,45.0
Lemon 100 g,13.0,0.0,13.0
Tomato 1 kg,58.0,0.0,58.0
Green Capsicum 500 g,45.0,0.0,45.0
Papaya (Each) (Approx. 800 g - 1600 g),48.0,0.0,48.0
Curry Leaves 1 bunch (Approx 20 g - 100 g),9.0,0.0,9.0
Dragonfruit per pc (Approx 280 g - 450 g),64.0,0.0,64.0
Amla (Indian Gooseberry) 250 g,22.5,0.0,22.0
Sambar Onion 250 g,40.0,0.0,40.0
Pineapple Queen 1 pc (Approx 700 g - 1200 g),69.0,0.0,69.0
Potato Baby 500 g,22.0,0.0,22.0
Carrot Orange 500 g,30.0,0.0,30.0
Beetroot 500 g,26.0,0.0,26.0
Sharad Seedless Grapes 500 g,49.0,0.0,49.0
Cucumber Regular 500 g,28.0,0.0,28.0
Drumstick (Each) (Approx. 25 g - 100 g),12.0,0.0,12.0
Bottle Gourd (Approx. 600 g - 900 g),24.0,0.0,24.0
Cucumber Madras 1 kg,100.0,0.0,100.0
Watermelon Kiran Big 1 pc (Approx. 2800 g - 4000 g),65.0,0.0,65.0
Cauliflower 1 pc (Approx 600 g - 1000 g),24.0,0.0,24.0
Spinach (Paalak) 1 bunch (Approx 100 g - 300 g),20.0,0.0,20.0
Brinjal Black Big 500 g,26.0,0.0,26.0
French Beans 500 g,24.5,0.0,24.0
Mosambi 3 kg (Pack),190.0,0.0,190.0
Musk Melon 1 pc (Approx. 600 g - 900 g),39.0,0.0,39.0
Coconut Kalash 5 pcs (Pack) (Approx 1600 g - 2000 g),140.0,0.0,140.0
Papaya Mini Each,24.0,0.0,24.0
Grapes Super Sonaka 500 Gm,39.0,0.0,39.0
Ridge Gourd 500 g,55.0,0.0,55.0
Kiwi Imported 3 pcs (Pack),145.0,0.0,145.0
Broccoli (Each) (Approx. 200 g - 400 g),42.0,0.0,42.0
Banana Yellaki 12 pcs (Approx 750 g - 1000 g),115.0,0.0,115.0
Banana MRL Pack 5 pcs (Approx. 600 g-700 g),42.0,0.0,42.0
Cluster Beans 250 g,25.0,0.0,25.0
Baby Corn 1 Pack (Approx. 100 g - 160 g),25.0,0.0,25.0
Cowpea Beans 500 g,30.0,0.0,30.0
Dates Kimia Curate Premium Imported Pack 500 g,189.0,46.0,350.0
Pomegranate Economy 6 pcs (Pack),169.0,0.0,169.0
Mosambi 1 kg,69.0,0.0,69.0
Sprouts Mixed 1 Pack (Approx 200 g - 250 g),35.0,0.0,35.0
Cucumber 500 g,27.0,0.0,27.0
"Dried Mix Berry without Sugar bundle pack | Low calories & Gluten-free, Rich in Vitamin K and High fibre Superfood - (50gx6)Zip Packs",615.0,74.0,2365.0
Papaya Red Lady Premium Indian 1 Pc (Approx 780 g - 980 g),52.0,62.0,137.0
Sapota 6 pcs (Pack) (Approx 450 g -550 g),59.0,0.0,59.0
Dates Imported (Approx. 450 g - 550 g),175.0,0.0,175.0
Raw Papaya 500 g,20.0,0.0,20.0
Garlic Peeled 1 Pack (Approx 80 g - 150 g),55.0,0.0,55.0
Sweet Tamarind (Approx. 240 g - 260 g),99.0,0.0,99.0
Coriander Bunch (Approx 50 g - 200 g),22.0,0.0,22.0
Apple Royal Gala 4 pcs (Approx 500 g - 700 g),199.0,0.0,199.0
Blue Berry Imported 125 g,309.0,0.0,309.0
Local Beans 500 g,35.0,0.0,35.0
Pears Green Imported 3 pcs (Pack),110.0,0.0,110.0
Blueberry Premium Imported Pack 125 g,339.0,15.0,399.0
Mint Leaves per Bunch (Approx 80 g - 150 g),12.0,0.0,12.0
Snake Gourd 500 g,40.0,0.0,40.0
