,Product Name,Price,Discount,Original Price
0,Super Sarvottam Physically Refined Rice Bran Oil 1 L,97.0,51.0,198.0
1,Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L,96.0,40.0,160.0
2,Surf Excel Easy Wash Detergent Powder 5 kg,500.0,31.0,725.0
3,Closeup Everfresh+ Red Hot Gel Toothpaste 150 g (Pack of 2),119.0,48.0,229.0
4,Bharat Chana Dal 1 Kg,60.0,0.0,60.0
5,Brooke Bond Red Label Strong Blend Tea 1 kg,450.0,25.0,600.0
6,Maaza Mango Drink 1.2 L,50.0,33.0,75.0
7,Pears Pure & Gentle Soap with Natural Oils 125 g (Buy 4 Get 1 Free),243.0,35.0,374.0
8,Surf Excel Detergent Bar 200 g (Pack of 4),96.0,21.0,122.0
9,Rin Detergent Bar 110 g,9.0,10.0,10.0
10,Kissan Fresh Tomato Ketchup 1.1 kg,98.0,34.0,148.0
11,Tide Jasmine & Rose Detergent Powder 5 kg (Get Extra 1 kg Free),715.0,7.0,769.0
