Product Name,Price,Discount,Original Price
Vim Lemon Dishwash Bar 60 g,5.0,0.0,5.0
Rin Detergent Bar 110 g,9.0,10.0,10.0
Surf Excel Detergent Bar 80 g,9.0,10.0,10.0
Bisleri Soda 750 ml,13.0,35.0,20.0
Maggi 2-Minute Masala Noodles 70 g,13.0,7.0,14.0
Sunfeast Dark Fantasy Bourbon Biscuits 120 g,17.0,51.0,35.0
Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g,17.0,51.0,35.0
Kinley Soda 750 ml,18.0,10.0,20.0
Britannia Jimjam Sandwich Biscuits 138 g,23.0,34.0,35.0
Tata Iodised Salt 1 kg,24.0,14.0,28.0
Parle Hide & Seek Chocolate Chip Cookies 100 g,25.0,16.0,30.0
Britannia Bourbon The Original Cream Biscuits 150 g,26.0,35.0,40.0
Maaza Mango Drink 600 ml,32.0,23.0,42.0
Sunfeast Dark Fantasy Choco Fills Cookies 75 g,35.0,12.0,40.0
Cadbury Dairy Milk Roast Almond Chocolate 36 g,38.0,15.0,45.0
Cadbury Dairy Milk Fruit & Nut Chocolate 36 g,38.0,15.0,45.0
Cadbury Gems Jungle Book Surprise Ball with Toy 15.8 g,46.0,8.0,50.0
Maaza Mango Drink 1.2 L,50.0,33.0,75.0
Amul Butter 100 g (Carton),54.0,6.0,57.0
Bharat Chana Dal 1 Kg,60.0,0.0,60.0
7Up 2.25 L,66.0,33.0,99.0
Good Life Jeera 100 g,69.0,54.0,150.0
Rin Ala Fabric Whitener 500 ml,69.0,22.0,88.0
Munch 18 Yummy Treats 160.2 g,69.0,31.0,100.0
Amul Taaza Homogenised Toned Milk 1 L (Tetra Pak),70.0,2.0,71.0
Maggi 2-Minute Masala Instant Noodles 420 g,71.0,15.0,84.0
Mirinda Orange 2.25 L,74.0,25.0,99.0
Thums Up 2.25 L,75.0,11.0,84.0
Rin Detergent Bar 250 g (Pack of 4),78.0,22.0,100.0
Tide Naturals Lemon & Chandan Detergent Powder 1 kg,79.0,7.0,85.0
Parle-G Original Glucose Biscuits 800 g,82.0,18.0,100.0
Monster Energy Drink 350 ml,84.0,32.0,124.0
Vim Extra Anti Smell Pudina Dishwash Bar 200 g (Buy 4 Get 1 Free),95.0,26.0,128.0
Surf Excel Detergent Bar 200 g (Pack of 4),96.0,21.0,122.0
Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L,96.0,40.0,160.0
Maggi 2-Minute Masala Instant Noodles 560 g,96.0,20.0,120.0
Super Sarvottam Physically Refined Rice Bran Oil 1 L,97.0,51.0,198.0
Kissan Fresh Tomato Ketchup 1.1 kg,98.0,34.0,148.0
Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g,98.0,42.0,169.0
Good Life Refined Sunflower Oil 1 L,99.0,50.0,198.0
Parle-G Gold Biscuits 1 kg,101.0,27.0,138.0
Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),102.0,43.0,179.0
Saffola Active Pro Weight Watchers Rice Bran Based Blended Oil 1 L,106.0,33.0,158.0
Lux Velvet Glow Jasmine & Vitamin E Soap 150 g (Pack of 3),106.0,40.0,177.0
