Product Name,Price,Discount,Original Price
Maaza Mango Drink 1.2 L,50.0,33.0,75.0
"Biovitalia Organics Watermelon Flavored Nutraceutical Apple Cider Vinegar Effervescent Tablets - Boost Metabolism, Manage Weight & Support Digestion - 15 Tablets",299.0,25.0,399.0
Brooke Bond Red Label Strong Blend Tea 1 kg,450.0,25.0,600.0
Maaza Mango Drink 600 ml,32.0,23.0,42.0
Thums Up 2.25 L,75.0,11.0,84.0
"Rk Home Made Natural Syrup Lemon Pudina Syrup, 750 Ml",195.0,61.0,500.0
Bisleri Soda 750 ml,13.0,35.0,20.0
Taj Mahal Tea 1 kg,792.0,10.0,880.0
Red Bull Energy Drink 250 ml (4 pcs),390.0,18.0,476.0
Kinley Soda 750 ml,18.0,10.0,20.0
Mirinda Orange 2.25 L,74.0,25.0,99.0
Tulsi Tea Brokens - Kadak Dana Chai 1kg | G.M.’S TULSI TEA,361.0,5.0,380.0
"Nikunj Real Elaichi Tea, 1kg",189.0,37.0,300.0
Monster Energy Drink 350 ml,84.0,32.0,124.0
7Up 2.25 L,66.0,33.0,99.0
Tata Tea Premium Desh Ki Chai 1 kg,400.0,29.0,563.0
Pepsi 750 ml,30.0,25.0,40.0
Biovitalia Organics Premium Saw Palmetto Capsules for Prostate Health & Urinary Tract Support - Natural Serenoa Repens Extract - 60 Vegan Capsules - Dietary Supplement,639.0,54.0,1389.0
Mirinda Orange 750 ml,32.0,20.0,40.0
Tata Agni Strong Leaf Tea 1 kg,199.0,13.0,229.0
Tata Gold Leaf Tea 500 g,235.0,21.0,297.0
Thums Up 600 ml,32.0,20.0,40.0
Bournvita 1 kg,357.0,19.0,441.0
"Rk Home Made Natural Syrup Pan Pasand Syrup Concentrated Syrups And Squash, 750 Ml",195.0,61.0,500.0
Tata Agni Tea 250 g,82.0,8.0,89.0
Sprite 600 ml,32.0,20.0,40.0
Pepsi 2.25 L,71.0,28.0,99.0
Horlicks Classic Malt 750 g,329.0,26.0,445.0
Brooke Bond Taaza Leaf Tea 1 kg,207.0,10.0,230.0
"Rk Home Made Natural Syrup Rose Falooda Syrup, 750 Ml",195.0,61.0,500.0
"Nikunj Assam Tea, 1kg",161.0,26.0,218.0
Diet Coke 300 ml,32.0,20.0,40.0
Tropicano Slice Mango Drink 1.75 L,66.0,33.0,99.0
Dabur Chyawanprash 3x Immunity With Awaleha 950 g,295.0,25.0,393.0
Tata Gold Leaf Tea 1 kg,455.0,24.0,599.0
Biovitalia Organics Premium Milk Thistle Capsules for Liver Health & Antioxidant Support - Silybum Marianum Extract - 60 Vegan Capsules - Dietary Supplement,790.0,16.0,940.0
Society Tea 1 kg,480.0,15.0,565.0
Coca Cola Zero Sugar 300 ml,32.0,20.0,40.0
Brooke Bond Red Label Natural Care Tea 250 g,142.0,11.0,160.0
Maaza Refresh Mango Drink 135 ml (10 pcs),79.0,21.0,100.0
Wagh Bakri Premium Leaf Tea 250 g,130.0,10.0,144.0
Tulsi Tea Classic | CTC Chai Patti | Family Combo Pack (2KG + 500GM Free) | Strong and Rich Blend For Tea Lovers | G.M.’S TULSI TEA,864.0,10.0,960.0
Mountain Dew 750 ml,29.0,27.0,40.0
B Natural Mixed Fruit Juice 1 L,70.0,50.0,140.0
Pepsi 250 ml,25.0,28.0,35.0
Wagh Bakri Premium Leaf Tea 500 g,239.0,17.0,288.0
"MAHARASTRA CHAHA WITH ""CUP"" - Special Chai (Pack 2) 1 Kg Each Jar 500gm",300.0,45.0,545.0
"Rk Home Made Natural Syrup Real Fruit Pineapple Crush Concentrated Syrups And Squash, 750 Ml",195.0,61.0,500.0
Frooti Mango Drink 2 L,99.0,17.0,119.0
Bournvita 750 g,279.0,26.0,377.0
Coca Cola 2.25 L,69.0,18.0,84.0
Horlicks Chocolate Delight 750 g,240.0,35.0,369.0
Storia Tender Coconut Water 1 L,89.0,50.0,178.0
"Rk Home Made Natural Syrup Orange Concentrated Syrups And Squash, 750 Ml",195.0,61.0,500.0
Real Fruit Power Apple Juice 1 L,90.0,21.0,114.0
"Nikunj Dhaba Special Leaf Tea, 1 kg",165.0,40.0,275.0
Frooti Mango Drink 1.2 L,60.0,14.0,70.0
Bournvita 75 g,27.0,10.0,30.0
"Nikunj Dhaba Special Leaf Tea, 1.5 kg Budget Pack",231.0,42.0,398.0
Red Label Leaf Tea 250 g (Carton),139.0,10.0,154.0
Sprite 250 ml,18.0,10.0,20.0
Fanta Orange 2.25 L,75.0,11.0,84.0
Tata Agni Leaf Tea 1.5 kg,290.0,13.0,333.0
Nescafe Classic Instant Coffee 90 g,310.0,11.0,348.0
Coca Cola 600 ml,33.0,13.0,38.0
Thums Up 250 ml,18.0,10.0,20.0
Amul Pro Whey Protein Drink 500 g,140.0,22.0,179.0
Fanta Orange 300 ml,32.0,20.0,40.0
Nescafe Classic Instant Coffee 45 g,150.0,11.0,169.0
Brooke Bond Red Label Natural Care Tea 500 g,295.0,11.0,331.0
Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 1 |,266.0,30.0,380.0
Society Elaichi Adrak Chai | Society Tea | Ginger & Cardamom | Refreshing & Tasteful | 250 g | Pack of 1,170.0,0.0,170.0
B Natural Guava Juice 1 L,70.0,50.0,140.0
Sprite 300 ml,32.0,20.0,40.0
Mountain Dew 250 ml,26.0,25.0,35.0
"Tea Valley Utsah Dumdar Chai 900Gm | KADAK, MALTY, Aromatic & Strong | Unique Blend of Assam and Dooars CTC |",230.0,0.0,230.0
Paper Boat Coconut Water 200 ml,33.0,34.0,50.0
Women's Horlicks Plus Caramel Drink Mix 400 g,295.0,14.0,343.0
Lipton Honey Lemon Green Tea Bags 1.4 g (25 pcs),130.0,7.0,140.0
Taj Mahal Tea 100 g (Carton),88.0,7.0,95.0
Society Tea 250 g,134.0,7.0,144.0
BRU Instant Coffee 50 g,145.0,9.0,159.0
