Product Name,Price,Discount,Original Price
Bharat Chana Dal 1 Kg,60.0,0.0,60.0
Just Pressed Wooden Cold Pressed Coconut Oil| Nariyal Oil| 2 Ltr | Cold Pressed Oil | Wood Pressed Oil | Chekku Oil | 2 Ltr,625.0,34.0,947.0
Super Sarvottam Physically Refined Rice Bran Oil 1 L,97.0,51.0,198.0
Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L,96.0,40.0,160.0
Saffola Active Pro Weight Watchers Rice Bran Based Blended Oil 1 L,106.0,33.0,158.0
"5 A Day Kashmiri Walnut Kernels (Sharabati Sweet Halves) , 750g (Pack of 3)| Kashmiri Walnuts|Akhrot",599.0,49.0,1175.0
Tata Iodised Salt 1 kg,24.0,14.0,28.0
Chakki Atta 10 kg,355.0,16.0,423.0
Fortune Sunlite Refined Sunflower Oil 1 L,110.0,18.0,134.0
Good Life Refined Sunflower Oil 1 L,99.0,50.0,198.0
Good Life Toor Dal 2 kg,349.0,22.0,447.0
"5 A Day Walnuts 250g, Special Quarters Halves Kashmiri Walnuts Kernels 250g (Pack of 1) | Kashmiri Walnuts | Akhrot | Walnuts",349.0,41.0,592.0
Good Life Pure Crystal Sugar (M) 5 kg,227.0,24.0,299.0
Chakki Atta 5 kg,195.0,22.0,250.0
Good Life Almonds 500 g,359.0,34.0,544.0
Parry's White Label Sulphur Free Sugar 5 kg,226.0,24.0,297.0
Good Life Jeera 100 g,63.0,58.0,150.0
"Just Pressed Wood Pressed Coconut Oil (Chekku) Cold Pressed Coconut Oil, 100% Pure & Natural Untreated & Unrefined Coconut oil for Healthy Cooking | Kachi Ghani Oil | Wood Cold Pressed Oil | Coconut Oil (1000 ml)",319.0,33.0,476.0
Good Life (W320) Cashews 500 g,369.0,26.0,499.0
Nutri Binge 500g California Almonds Vitals,305.0,53.0,649.0
Gemini Refined Sunflower Oil 1 L,117.0,34.0,177.0
Amul Pure Ghee 1 L (Pouch),590.0,7.0,634.0
Nandini Pure Cow Ghee 1 L (Pouch),585.0,10.0,650.0
Just Pressed Wooden Cold Pressed Groundnut Oil| Peanut Oil| 1 Ltr | Pack of 4 | Cold Pressed Oil | Wood Pressed Oil | Chekku Oil,1199.0,33.0,1790.0
Suji / Rawa 1 kg,50.0,52.0,104.0
Good Life Raw Peanuts 500 g,91.0,24.0,120.0
Nutri Binge 500g Whole Cashews,335.0,55.0,744.0
Fortune Sunlite Refined Sunflower Oil 5 L,599.0,15.0,705.0
Suji / Rawa 500 g,25.0,52.0,52.0
Ganga 15 Ltr Rice bran Oil Tin,2400.0,0.0,2400.0
Good Life Free Flow Iodised Salt 1 kg,15.0,46.0,28.0
Aashirvaad Superior MP Atta 10 kg,483.0,14.0,562.0
Good Life Sugar (M) 1 kg,48.0,26.0,65.0
Sugar (M) 2 kg,91.0,24.0,120.0
Good Life Value Almond 500 g,319.0,39.0,523.0
Days 10 Ltr Rice Bran Oil Jar,1650.0,0.0,1650.0
Navjeevan Jeera 500g (Cumin),249.0,66.0,732.0
India Gate Mogra Basmati Rice 10 kg,647.0,21.0,819.0
Good Life Yellow Kishmish 500 g,135.0,26.0,182.0
"GreenFinity Mix Dry Fruits and Nuts, 1kg [Almonds, Walnuts, Cashew, Pumpkin, Cranberry, Black Raisin & Many More] Healthy Gift Hamper for Every Occasion Fresh and Healthy Dry Fruits, Seeds & Nuts.",599.0,53.0,1274.0
Sunday Refined Sunflower Oil 1 L,109.0,42.0,188.0
KRISHIVAL NUTS 100% Natural Premium California Dried Almonds 250g Pack Pouch | Premium Badam Giri | High in Fiber & Boost Immunity | Real Nuts | Gluten Free,318.0,3.0,328.0
DAIRYSAGAR GOPAL Pure Desi Cow Ghee Pure Cow Ghee for Better Digestion and Immunity 1 ltr jar-1,397.0,41.0,673.0
Gulab Gold Filtered Groundnut Oil 5 L,879.0,24.0,1157.0
Good Life Turmeric Powder 100 g,25.0,50.0,50.0
Patanjali Kachi Ghani Mustard Oil 1 L (Bottle),139.0,0.0,139.0
Tata Sampann White Poha 500 g,49.0,7.0,53.0
5 A Day Walnuts Special Quarters Halves Kashmiri Walnuts Kernels 500g (Pack of 2) | Kashmiri Walnuts | Akhrot | Walnuts,499.0,58.0,1188.0
Aashirvaad Superior MP Atta 5 kg,245.0,16.0,292.0
Good Life Jeera 200 g,125.0,59.0,305.0
Daawat Sonamasoori Rice 10 kg,659.0,26.0,891.0
Good Life Moong Dal 2 kg,233.0,31.0,338.0
Saffola Gold Rice Bran Based Blended Oil 3 L + India Gate Regular Choice Basmati Rice 5 kg,749.0,38.0,1208.0
Just Pressed Cold Pressed Safflower Oil | 1 Ltr Pack of 2 |100% Pure Safflower Kusum Saffola Oil | Unrefined & Zero Additives | Healthy Heart Oil | Saffola Hero Ingredient | Kachi Ghani Oil | Wood Cold Pressed Oil | Safflower Oil 2000 ML,709.0,35.0,1091.0
Gulab Gold Filtered Groundnut Oil 1 L,173.0,34.0,262.0
Aashirvaad Select Sharbatti Wheat Atta 5 kg,271.0,18.0,330.0
Fortune Physically Refined Rice Bran Oil 1 L (Pouch),123.0,25.0,164.0
Good Life Jeera 500 g,299.0,59.0,729.0
Sunrich Refined Sunflower Oil 899 g,101.0,33.0,151.0
Coreganic 1kg 100% Natural International Premium Whole Cashews,697.0,61.0,1787.0
Besan 500 g,43.0,54.0,93.0
Gowardhan Pure Cow Ghee 1 L (Pouch),651.0,10.0,723.0
Maida 1 kg,45.0,57.0,105.0
Daawat Rozana Super Basmati Rice 1 kg,75.0,23.0,97.0
India Gate Regular Choice Basmati Rice 5 kg,409.0,22.0,524.0
Safola Gold Multisource Blended Refined Edible Oil 5 L (Can) + 1 L Free (Pouch),889.0,5.0,936.0
Fortune Suji / Semolina 500 g,27.0,30.0,39.0
Daawat Rozana Gold Basmati Rice 5 kg,449.0,21.0,568.0
Good Life Thick Poha / Aval 1 kg,63.0,36.0,98.0
Daawat Rozana Super Basmati Rice 5 kg,369.0,24.0,486.0
"Horaira Nutz Dry Fruits Combo Pack 1Kg Cashews 250g , Figs 250g , Raisins 250g , Almond 250g",720.0,62.0,1895.0
Date Crown Bumaan Dates 500 g,85.0,43.0,149.0
Patanjali Cow Ghee 500 ml (Carton),335.0,5.0,353.0
Fortune Superfine Besan 500 g,55.0,31.0,80.0
Gulab Sungold Refined Sunflower Oil 15 L (Tin),1572.0,23.0,2042.0
Dhara Nourish Vit A E Refined Sunflower Oil 1 L,112.0,25.0,149.0
Mount 84 Rock Salt 1 kg,49.0,50.0,98.0
Gowardhan Cow Ghee 1 L (Pack of 2) Pouch With Lock & Seal Container,1219.0,15.0,1434.0
Good Life Tur Dal 1 kg,221.0,16.0,263.0
Maggi Masala Ae Magic 6 g (Pack of 12),55.0,8.0,60.0
Good Life Moong Dal 500 g,76.0,20.0,95.0
"Farmley Handpicked Gold Makhana ( Fox Nuts) , 500g (Pack of 2, Each 250g)",398.0,33.0,594.0
Amul Cow Ghee 1 L (Tin),618.0,7.0,665.0
Daawat Devaaya Everyday Rice 5 kg,299.0,50.0,598.0
Fortune Besan 1 kg,99.0,38.0,160.0
Good Life Big Mustard 100 g,15.0,40.0,25.0
Pyramid Traders 1KG Kashmiri Mamra Almonds (Badam Giri),1099.0,72.0,3925.0
Saffola Gold Rice Bran Based Blended Oil 3 L,429.0,37.0,681.0
Tulsi California Rozana Value Almonds 1 Kg,626.0,45.0,1138.0
Good Life Kabuli Chana 500 g,111.0,17.0,134.0
Suhana Simla Premium 1 Liter Danedar Cow Ghee | Pure Cow Ghee | 1Liter,429.0,44.0,766.0
Surya 1kg Cumin Whole| Jeera Whole| 100% Natural| Best Whole Spices,489.0,51.0,998.0
Good Life MP Wheat Chakki Atta 1 kg,43.0,14.0,50.0
BLK Foods Select 1Kg Californian Almond Kernel | American Jumbo size Healthy Badam Giri Nuts (500g x 2packs),699.0,69.0,2255.0
Tata Sampann Unpolished Moong Dal 500 g,97.0,10.0,108.0
India Gate Rozana Basmati Rice 5 kg,449.0,23.0,583.0
Freshtige Premium Dried Afghani Anjeer 1KG Pouch Pack| Dried Figs| Non-GMO Dried Figs,599.0,60.0,1498.0
Regular Value Pack Plain Cashews 500 g,355.0,29.0,500.0
Elina Long Grain Rice 1 kg,65.0,66.0,191.0
Anjani Anjeer 100% Natural Anjeer (Dry Figs) 500g,369.0,58.0,879.0
Dhara Kachi Ghani Mustard Oil 1 L (Bottle),141.0,21.0,178.0
Nutraj California Walnuts InShell 1 kg (500gm x 2),529.0,51.0,1080.0
