Product Name,Price,Discount,Original Price
Super Sarvottam Physically Refined Rice Bran Oil 1 L,97.0,51.0,198.0
KRISHIVAL NUTS King of cashews+ California Almonds 500G(250G+250G EACH)Dry Fruits Combo Pack of 500 gms | Dry Fruits Cashews Combo [ Pouch Pack] - Gift Pack,600.0,25.0,800.0
Bharat Chana Dal 1 Kg,60.0,0.0,60.0
Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L,96.0,40.0,160.0
Saffola Active Pro Weight Watchers Rice Bran Based Blended Oil 1 L,106.0,33.0,158.0
"OR! Optimum Resources Kesar Saffron Original Kashmiri 1 g (Pack of 1), Certified highest Grade A++, 100% Natural Kashmiri Kesar",229.0,64.0,636.0
Tata Iodised Salt 1 kg,24.0,14.0,28.0
Chakki Atta 10 kg,355.0,16.0,423.0
Fortune Sunlite Refined Sunflower Oil 1 L,115.0,14.0,134.0
Good Life Refined Sunflower Oil 1 L,99.0,50.0,198.0
Good Life Toor Dal 2 kg,349.0,22.0,447.0
KRISHIVAL NUTS 500G popular cashews (250G each pack )|100% Natural Premium Whole Cashews Value Pack | Whole Crunchy Cashew | Premium Kaju nuts | Nutritious & Delicious | Gluten Free & High Protein,440.0,37.0,698.0
Chakki Atta 5 kg,195.0,22.0,250.0
Good Life Pure Crystal Sugar (M) 5 kg,227.0,24.0,299.0
Good Life Almonds 500 g,359.0,34.0,544.0
Nutri Binge 500g California Almonds Vitals,329.0,50.0,658.0
Parry's White Label Sulphur Free Sugar 5 kg,226.0,24.0,297.0
KRISHIVAL NUTS 100% Natural Premium California Dried Almonds 250g Pack Pouch | Premium Badam Giri | High in Fiber & Boost Immunity | Real Nuts | Gluten Free,318.0,3.0,328.0
Good Life Jeera 100 g,63.0,58.0,150.0
Good Life (W320) Cashews 500 g,369.0,26.0,499.0
Good Life Kachi Ghani Mustard Oil 1 L (Pouch),121.0,28.0,168.0
Gemini Refined Sunflower Oil 1 L,114.0,21.0,144.0
Nutri Binge 500g Whole Cashews,359.0,52.0,748.0
KRISHIVAL NUTS Premium Dried Afghani Anjeer 250 g Pack | Dried Figs Ajnir | Rich source of Fibre Calcium & Iron | Low in calories and Fat Free | Non-GMO Dried Figs,480.0,20.0,600.0
Amul Pure Ghee 1 L (Pouch),590.0,7.0,634.0
Aashirvaad Iodized Salt 1 kg,14.0,50.0,28.0
Suji / Rawa 1 kg,50.0,52.0,104.0
Fortune Sunlite Refined Sunflower Oil 5 L,599.0,15.0,705.0
Good Life Raw Peanuts 500 g,91.0,24.0,120.0
KRISHIVAL NUTS 1KG popular cashews (250G each pack )|100% Natural Premium Whole Cashews Value Pack | Whole Crunchy Cashew | Premium Kaju nuts | Nutritious & Delicious | Gluten Free & High Protein,765.0,45.0,1391.0
Madhur Pure & Hygienic Sugar 5 kg,255.0,19.0,315.0
Suji / Rawa 500 g,25.0,52.0,52.0
Aashirvaad Superior MP Atta 10 kg,483.0,14.0,562.0
Fortune Chakki Fresh Whole Wheat Atta 10 kg,409.0,12.0,465.0
"GreenFinity Mix Dry Fruits and Nuts, 1kg [Almonds, Walnuts, Cashew, Pumpkin, Cranberry, Black Raisin & Many More] Healthy Gift Hamper for Every Occasion Fresh and Healthy Dry Fruits, Seeds & Nuts.",599.0,53.0,1274.0
LILA DRY FRUITS 100% Natural Raw Walnut Kernels 2 pcs 500g Value Pouch Pack | Premium Akrot Giri | High in Protein & Iron | Low Calorie Nut | Dry Fruit,519.0,68.0,1622.0
Patanjali Traditional Chakki Whole Wheat With Bran Atta 10 kg,399.0,16.0,475.0
Nandini Pure Cow Ghee 1 L (Pouch),585.0,10.0,650.0
Good Life Free Flow Iodised Salt 1 kg,15.0,46.0,28.0
Sugar (M) 2 kg,91.0,24.0,120.0
Good Life Sugar (M) 1 kg,48.0,26.0,65.0
"Vanraj Gingelly Oil - 1 Ltr (Pack of 2) | Oil for Cooking | 100% Pure, Unrefined, and Unfiltered. Sesame Oil. Til Oil",699.0,20.0,874.0
Navjeevan Jeera 500g (Cumin),249.0,66.0,732.0
DAIRYSAGAR GOPAL Pure Desi Cow Ghee Pure Cow Ghee for Better Digestion and Immunity 1 ltr jar-1,397.0,41.0,673.0
Good Life Refined Rice Bran Oil 1 L,99.0,34.0,150.0
Good Life Kachi Ghani Mustard Oil 1 L (Bottle),123.0,29.0,173.0
Good Life Yellow Kishmish 500 g,135.0,26.0,182.0
OrgaSatva Organic Cold Pressed Sunflower Oil 1 ltr,375.0,14.0,436.0
Good Life Value Almond 500 g,319.0,39.0,523.0
Good Life Refined Soyabean Oil 1 L,104.0,30.0,149.0
Gulab Gold Filtered Groundnut Oil 5 L,879.0,24.0,1157.0
Good Life Turmeric Powder 100 g,25.0,50.0,50.0
Sunday Refined Sunflower Oil 1 L,109.0,42.0,188.0
Tata Sampann White Poha 500 g,49.0,7.0,53.0
Saffola Gold Rice Bran Based Blended Oil 3 L + India Gate Regular Choice Basmati Rice 5 kg,749.0,38.0,1208.0
Patanjali Kachi Ghani Mustard Oil 1 L (Bottle),139.0,0.0,139.0
Daawat Sonamasoori Rice 10 kg,659.0,26.0,891.0
Aashirvaad Superior MP Atta 5 kg,245.0,16.0,292.0
Fortune Kachi Ghani Mustard Oil 5 L,729.0,21.0,923.0
Good Life Moong Dal 2 kg,233.0,31.0,338.0
Gulab Gold Filtered Groundnut Oil 1 L,173.0,34.0,262.0
Coreganic 1kg 100% Natural International Premium Whole Cashews,697.0,61.0,1787.0
Aashirvaad Select Sharbatti Atta 5 kg,271.0,18.0,330.0
"Horaira Nutz Dry Fruits Combo Pack 1Kg Cashews 250g , Figs 250g , Raisins 250g , Almond 250g",720.0,62.0,1895.0
Fortune Physically Refined Rice Bran Oil 1 L (Pouch),123.0,25.0,164.0
Good Life Jeera 500 g,299.0,59.0,729.0
Dhara Kachi Ghani Mustard Oil 1 L (Pouch),138.0,13.0,159.0
Sunrich Refined Sunflower Oil 899 g,99.0,34.0,150.0
Daawat Rozana Super Basmati Rice 1 kg,75.0,23.0,97.0
Gowardhan Pure Cow Ghee 1 L (Pouch),645.0,11.0,725.0
Daawat Rozana Gold Basmati Rice 5 kg,449.0,21.0,568.0
Maida 1 kg,45.0,57.0,105.0
Besan 500 g,43.0,54.0,93.0
India Gate Regular Choice Basmati Rice 5 kg,409.0,22.0,524.0
Good Life Thick Poha / Aval 1 kg,63.0,36.0,98.0
Safola Gold Multisource Blended Refined Edible Oil 5 L (Can) + 1 L Free (Pouch),889.0,5.0,936.0
Daawat Rozana Super Basmati Rice 5 kg,369.0,24.0,486.0
Patanjali Cow Ghee 500 ml (Carton),335.0,5.0,353.0
Ashirvaad High Fibre Atta with Multigrains 5 kg,309.0,13.0,355.0
Fortune Superfine Besan 500 g,55.0,31.0,80.0
921 CLASSIC BIRYANI SPECIAL BASMATI RICE 5 KG (Long grain 1121 Rice XXXL),549.0,40.0,915.0
Good Life Tur Dal 1 kg,211.0,20.0,264.0
Tulsi California Rozana Value Almonds 1 Kg,699.0,38.0,1127.0
Fortune Chakki Fresh Atta 5 kg,207.0,15.0,244.0
Mount 84 Rock Salt 1 kg,49.0,50.0,98.0
"Farmley Handpicked Gold Makhana ( Fox Nuts) , 500g (Pack of 2, Each 250g)",429.0,28.0,596.0
Dhara Nourish Vit A E Refined Sunflower Oil 1 L,112.0,25.0,149.0
Pyramid Traders 1KG Kashmiri Mamra Almonds (Badam Giri),1099.0,72.0,3925.0
Good Life Moong Dal 500 g,76.0,20.0,95.0
Wonderland Foods Platinum California Almonds 500 g,329.0,54.0,715.0
Freshtige Premium Dried Afghani Anjeer 1KG Pouch Pack| Dried Figs| Non-GMO Dried Figs,599.0,60.0,1498.0
Maggi Masala Ae Magic 6 g (Pack of 12),55.0,8.0,60.0
Suhana Simla Premium 1 Liter Danedar Cow Ghee | Pure Cow Ghee | 1Liter,449.0,42.0,774.0
921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 30 KG,1299.0,25.0,1732.0
Tata Sampann Unpolished Toor / Arhar Dal 500 g,130.0,10.0,144.0
Daawat Devaaya Everyday Rice 5 kg,299.0,50.0,598.0
Good Life Big Mustard 100 g,15.0,40.0,25.0
India Gate Rozana Basmati Rice 5 kg,449.0,23.0,583.0
